PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode
,,,,,,,,,S40001,Bragg_115,,Emarginata_Plate1,A1,2415,
,,,,,,,,,S40002,Bragg_176,,Emarginata_Plate1,B1,2476,
,,,,,,,,,S40003,Bragg_127,,Emarginata_Plate1,C1,2427,
,,,,,,,,,S40004,Bragg_132,,Emarginata_Plate1,D1,2432,
,,,,,,,,,S40005,Bragg_131,,Emarginata_Plate1,F1,2431,
,,,,,,,,,S40006,Bragg_149,,Emarginata_Plate1,H1,2449,
,,,,,,,,,S40007,Bragg_114,,Emarginata_Plate1,A2,2414,
,,,,,,,,,S40008,Bragg_150,,Emarginata_Plate1,B2,2450,
,,,,,,,,,S40009,Bragg_153,,Emarginata_Plate1,C2,2453,
,,,,,,,,,S40010,Bragg_116,,Emarginata_Plate1,D2,2416,
,,,,,,,,,S40011,Bragg_119,,Emarginata_Plate1,E2,2419,
,,,,,,,,,S40012,Bragg_117,,Emarginata_Plate1,F2,2417,
,,,,,,,,,S40013,Bragg_118,,Emarginata_Plate1,G2,2418,
,,,,,,,,,S40014,Bragg_121,,Emarginata_Plate1,H2,2421,
,,,,,,,,,S40015,Bragg_190,,Emarginata_Plate1,A3,2496,
,,,,,,,,,S40016,Bragg_120,,Emarginata_Plate1,B3,2420,
,,,,,,,,,S40017,Bragg_198,,Emarginata_Plate1,C3,2498,
,,,,,,,,,S40018,Bragg_186,,Emarginata_Plate1,D3,2486,
,,,,,,,,,S40019,Bragg_189,,Emarginata_Plate1,E3,2489,
,,,,,,,,,S40020,Bragg_129,,Emarginata_Plate1,F3,2429,
,,,,,,,,,S40021,Bragg_128,,Emarginata_Plate1,G3,2428,
,,,,,,,,,S40022,Bragg_135,,Emarginata_Plate1,H3,2435,
,,,,,,,,,S40023,Bragg_136,,Emarginata_Plate1,A4,2436,
,,,,,,,,,S40024,Bragg_137,,Emarginata_Plate1,B4,2437,
,,,,,,,,,S40025,Bragg_138,,Emarginata_Plate1,C4,2438,
,,,,,,,,,S40026,Bragg_113,,Emarginata_Plate1,D4,2413,
,,,,,,,,,S40027,Bragg_109,,Emarginata_Plate1,E4,2409,
,,,,,,,,,S40028,Bragg_112,,Emarginata_Plate1,F4,2412,
